puzzle_id,rating,moves,themes,fen,solution_depth,description,algo,heuristic,found,solution_length,nodes_expanded,runtime,reached_max_nodes
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,attacker_proximity_heuristic,1,2,3,0.001084667004761286,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,opponent_king_escape_heuristic,1,2,3,0.0014469160014414228,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,mobility_heuristic,1,2,3,0.00121779199980665,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,checks_available_heuristic,1,2,3,0.0037519999968935736,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,composite_heuristic,1,2,3,0.005494167002325412,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],bfs,na,1,2,4,0.0013218750027590431,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],dfs,na,1,2,29667,1.0175377080013277,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],ucs,na,1,2,4,0.001294249996135477,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,null_heuristic,1,2,4,0.0012305839991313405,0
001wb,1231,h2g3 g6h5,['mate' 'mateIn1' 'middlegame' 'oneMove'],r3k2r/pb1p1ppp/1b4q1/1Q2P3/8/2NP1Pn1/PP4PP/R1B2R1K w kq - 1 17,1,['mate' 'mateIn1' 'middlegame' 'oneMove'],astar,material_heuristic,1,2,4,0.001680499997746665,0
